,from_station_id,to_station_id,count,from_station_lat,from_station_lon,to_station_lat,to_station_lon
0,7000,7000,951,43.639832,-79.395954,43.639832,-79.395954
1,7001,7000,74,43.647992,-79.370907,43.639832,-79.395954
2,7002,7000,44,43.667333,-79.399429,43.639832,-79.395954
3,7003,7000,59,43.667158,-79.402761,43.639832,-79.395954
4,7004,7000,65,43.656518,-79.389099,43.639832,-79.395954
5,7005,7000,310,43.6480008,-79.383177,43.639832,-79.395954
6,7006,7000,41,43.660439,-79.385525,43.639832,-79.395954
7,7007,7000,40,43.658148,-79.398167,43.639832,-79.395954
8,7008,7000,11,43.663376,-79.392125,43.639832,-79.395954
9,7009,7000,92,43.650325,-79.372287,43.639832,-79.395954
10,7010,7000,486,43.645323,-79.395003,43.639832,-79.395954
11,7011,7000,140,43.642982,-79.399256,43.639832,-79.395954
12,7012,7000,163,43.656026,-79.385327,43.639832,-79.395954
13,7013,7000,45,43.64656,-79.375274,43.639832,-79.395954
14,7014,7000,10,43.663102,-79.373181,43.639832,-79.395954
15,7015,7000,98,43.64852,-79.380576,43.639832,-79.395954
16,7016,7000,57,43.640823,-79.376265,43.639832,-79.395954
17,7017,7000,42,43.6475076,-79.3914841,43.639832,-79.395954
18,7018,7000,223,43.641529,-79.386741,43.639832,-79.395954
19,7019,7000,87,43.6507021,-79.3800546,43.639832,-79.395954
20,7020,7000,170,43.650033,-79.396555,43.639832,-79.395954
21,7021,7000,147,43.653264,-79.382458,43.639832,-79.395954
22,7022,7000,88,43.650858,-79.387582,43.639832,-79.395954
23,7023,7000,5,43.6571,-79.4056,43.639832,-79.395954
24,7024,7000,4,43.66663,-79.38148,43.639832,-79.395954
25,7025,7000,13,43.671293,-79.380471,43.639832,-79.395954
26,7026,7000,21,43.665527,-79.387499,43.639832,-79.395954
27,7027,7000,83,43.652823,-79.393388,43.639832,-79.395954
28,7028,7000,10,43.6582,-79.3768,43.639832,-79.395954
29,7029,7000,57,43.6501624,-79.3733997,43.639832,-79.395954
30,7030,7000,46,43.664088,-79.387095,43.639832,-79.395954
31,7031,7000,6,43.668991,-79.379385,43.639832,-79.395954
32,7032,7000,68,43.652473,-79.401456,43.639832,-79.395954
33,7033,7000,245,43.645609,-79.380386,43.639832,-79.395954
34,7034,7000,59,43.671389,-79.382919,43.639832,-79.395954
35,7035,7000,56,43.643975,-79.419576,43.639832,-79.395954
36,7036,7000,14,43.651318,-79.36023,43.639832,-79.395954
37,7037,7000,46,43.6523,-79.4058,43.639832,-79.395954
38,7038,7000,58,43.656094,-79.381484,43.639832,-79.395954
39,7039,7000,52,43.652327224103,-79.3882538196087,43.639832,-79.395954
40,7040,7000,25,43.664467,-79.414783,43.639832,-79.395954
41,7041,7000,18,43.656729,-79.382736,43.639832,-79.395954
42,7043,7000,109,43.63951,-79.383717,43.639832,-79.395954
43,7044,7000,5,43.663722,-79.380288,43.639832,-79.395954
44,7045,7000,38,43.653236,-79.376716,43.639832,-79.395954
45,7046,7000,101,43.64534,-79.409597,43.639832,-79.395954
46,7047,7000,64,43.657763,-79.389165,43.639832,-79.395954
47,7048,7000,29,43.646144,-79.377962,43.639832,-79.395954
48,7049,7000,238,43.6476,-79.4015,43.639832,-79.395954
49,7050,7000,19,43.652634,-79.374222,43.639832,-79.395954
50,7051,7000,15,43.66506,-79.38357,43.639832,-79.395954
51,7052,7000,320,43.647259,-79.379878,43.639832,-79.395954
52,7053,7000,195,43.645859,-79.38783,43.639832,-79.395954
53,7054,7000,61,43.640722,-79.391051,43.639832,-79.395954
54,7055,7000,3,43.66207,-79.37617,43.639832,-79.395954
55,7056,7000,2,43.662132,-79.3656796,43.639832,-79.395954
56,7057,7000,401,43.6458569,-79.3853654,43.639832,-79.395954
57,7058,7000,23,43.6637,-79.400053,43.639832,-79.395954
58,7059,7000,150,43.643473,-79.390477,43.639832,-79.395954
59,7060,7000,65,43.652123,-79.367139,43.639832,-79.395954
60,7061,7000,30,43.6662942,-79.4066433,43.639832,-79.395954
61,7062,7000,140,43.659226,-79.390213,43.639832,-79.395954
62,7063,7000,72,43.668456,-79.393899,43.639832,-79.395954
63,7064,7000,12,43.65205,-79.362198,43.639832,-79.395954
64,7065,7000,6,43.659575,-79.365769,43.639832,-79.395954
65,7066,7000,38,43.662085,-79.397735,43.639832,-79.395954
66,7067,7000,29,43.643795,-79.375413,43.639832,-79.395954
67,7068,7000,67,43.644607,-79.366295,43.639832,-79.395954
68,7069,7000,153,43.649147,-79.395504,43.639832,-79.395954
69,7070,7000,204,43.643667,-79.380414,43.639832,-79.395954
